BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,Model,Epoch,Round,Folder
0.67,0.86,0.79,0.83,llama3.2_3b,3epochs,round1,llama3.2_3b_lora_sft_3epochs_round1
0.66,0.86,0.79,0.82,llama3.2_3b,3epochs,round2,llama3.2_3b_lora_sft_3epochs_round2
0.67,0.86,0.79,0.83,llama3.2_3b,3epochs,round3,llama3.2_3b_lora_sft_3epochs_round3
0.62,0.83,0.75,0.79,llama3.2_3b,5epochs,round1,llama3.2_3b_lora_sft_5epochs_round1
0.62,0.83,0.75,0.8,llama3.2_3b,5epochs,round2,llama3.2_3b_lora_sft_5epochs_round2
0.61,0.82,0.75,0.79,llama3.2_3b,5epochs,round3,llama3.2_3b_lora_sft_5epochs_round3
0.52,0.77,0.67,0.74,llama3.2_3b,7epochs,round1,llama3.2_3b_lora_sft_7epochs_round1
0.52,0.77,0.67,0.73,llama3.2_3b,7epochs,round2,llama3.2_3b_lora_sft_7epochs_round2
0.51,0.76,0.67,0.73,llama3.2_3b,7epochs,round3,llama3.2_3b_lora_sft_7epochs_round3
0.56,0.79,0.7,0.76,llama3.2_3b,10epochs,round1,llama3.2_3b_lora_sft_10epochs_round1
0.57,0.79,0.71,0.76,llama3.2_3b,10epochs,round2,llama3.2_3b_lora_sft_10epochs_round2
0.56,0.79,0.7,0.76,llama3.2_3b,10epochs,round3,llama3.2_3b_lora_sft_10epochs_round3
0.6,0.82,0.74,0.78,llama3.2_3b,15epochs,round1,llama3.2_3b_lora_sft_15epochs_round1
0.59,0.81,0.73,0.78,llama3.2_3b,15epochs,round2,llama3.2_3b_lora_sft_15epochs_round2
0.6,0.81,0.73,0.78,llama3.2_3b,15epochs,round3,llama3.2_3b_lora_sft_15epochs_round3
0.7,0.86,0.79,0.84,llama3.2_3b,20epochs,round1,llama3.2_3b_lora_sft_20epochs_round1
0.69,0.85,0.78,0.84,llama3.2_3b,20epochs,round2,llama3.2_3b_lora_sft_20epochs_round2
0.7,0.86,0.8,0.84,llama3.2_3b,20epochs,round3,llama3.2_3b_lora_sft_20epochs_round3
0.78,0.91,0.86,0.89,llama3_8b,3epochs,round1,llama3_8b_lora_sft_3epochs_round1
0.74,0.89,0.84,0.87,llama3_8b,3epochs,round2,llama3_8b_lora_sft_3epochs_round2
0.73,0.89,0.83,0.87,llama3_8b,3epochs,round3,llama3_8b_lora_sft_3epochs_round3
0.74,0.9,0.85,0.87,llama3_8b,5epochs,round1,llama3_8b_lora_sft_5epochs_round1
0.74,0.9,0.85,0.87,llama3_8b,5epochs,round2,llama3_8b_lora_sft_5epochs_round2
0.74,0.9,0.85,0.87,llama3_8b,5epochs,round3,llama3_8b_lora_sft_5epochs_round3
0.69,0.87,0.8,0.84,llama3_8b,7epochs,round1,llama3_8b_lora_sft_7epochs_round1
0.7,0.88,0.81,0.85,llama3_8b,7epochs,round2,llama3_8b_lora_sft_7epochs_round2
0.7,0.87,0.8,0.84,llama3_8b,7epochs,round3,llama3_8b_lora_sft_7epochs_round3
0.71,0.88,0.81,0.85,llama3_8b,10epochs,round1,llama3_8b_lora_sft_10epochs_round1
0.72,0.89,0.82,0.85,llama3_8b,10epochs,round2,llama3_8b_lora_sft_10epochs_round2
0.71,0.88,0.81,0.85,llama3_8b,10epochs,round3,llama3_8b_lora_sft_10epochs_round3
0.76,0.91,0.86,0.89,llama3_8b,15epochs,round1,llama3_8b_lora_sft_15epochs_round1
0.77,0.91,0.86,0.9,llama3_8b,15epochs,round2,llama3_8b_lora_sft_15epochs_round2
0.77,0.91,0.86,0.9,llama3_8b,15epochs,round3,llama3_8b_lora_sft_15epochs_round3
0.75,0.89,0.84,0.88,llama3_8b,20epochs,round1,llama3_8b_lora_sft_20epochs_round1
0.74,0.89,0.84,0.88,llama3_8b,20epochs,round2,llama3_8b_lora_sft_20epochs_round2
0.74,0.89,0.84,0.87,llama3_8b,20epochs,round3,llama3_8b_lora_sft_20epochs_round3
